"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Autauga County, AL","01001",20,408275,4.90,2.99,7.57
,"Baldwin County, AL","01003",179,1671387,10.71,9.14,12.28
,"Blount County, AL","01009",31,412077,7.52,5.11,10.68
,"Calhoun County, AL","01015",60,805967,7.44,5.68,9.58
,"Chambers County, AL","01017",18,236255,7.62,4.52,12.04
,"Cherokee County, AL","01019",12,180624,6.64,3.43,11.61
,"Chilton County, AL","01021",30,317829,9.44,6.37,13.47
,"Coffee County, AL","01031",19,378461,5.02,3.02,7.84
,"Colbert County, AL","01033",31,398067,7.79,5.29,11.05
,"Covington County, AL","01039",14,261791,5.35,2.92,8.97
,"Crenshaw County, AL","01041",12,93600,12.82,6.62,22.39
,"Cullman County, AL","01043",70,616506,11.35,8.85,14.35
,"Dale County, AL","01045",20,345911,5.78,3.53,8.93
,"Dallas County, AL","01047",19,257700,7.37,4.44,11.51
,"DeKalb County, AL","01049",32,504058,6.35,4.34,8.96
,"Elmore County, AL","01051",28,605604,4.62,3.07,6.68
,"Escambia County, AL","01053",17,256215,6.64,3.87,10.62
,"Etowah County, AL","01055",52,719838,7.22,5.40,9.47
,"Franklin County, AL","01059",14,221853,6.31,3.45,10.59
,"Geneva County, AL","01061",26,186727,13.92,9.10,20.40
,"Houston County, AL","01069",59,750549,7.86,5.98,10.14
,"Jackson County, AL","01071",29,367855,7.88,5.28,11.32
,"Jefferson County, AL","01073",230,4634083,4.96,4.32,5.60
,"Lauderdale County, AL","01077",44,662721,6.64,4.82,8.91
,"Lawrence County, AL","01079",20,232111,8.62,5.26,13.31
,"Lee County, AL","01081",75,1224367,6.13,4.82,7.68
,"Limestone County, AL","01083",71,749330,9.48,7.40,11.95
,"Madison County, AL","01089",206,2753612,7.48,6.46,8.50
,"Marion County, AL","01093",16,206144,7.76,4.44,12.60
,"Marshall County, AL","01095",62,690436,8.98,6.88,11.51
,"Mobile County, AL","01097",152,2888146,5.26,4.43,6.10
,"Montgomery County, AL","01101",75,1581557,4.74,3.73,5.94
,"Morgan County, AL","01103",73,857747,8.51,6.67,10.70
,"Pickens County, AL","01107",12,134355,8.93,4.62,15.60
,"Pike County, AL","01109",15,231684,6.47,3.62,10.68
,"Russell County, AL","01113",30,408837,7.34,4.95,10.48
,"St. Clair County, AL","01115",43,648100,6.63,4.80,8.94
,"Shelby County, AL","01117",96,1580823,6.07,4.92,7.42
,"Talladega County, AL","01121",30,564526,5.31,3.59,7.59
,"Tallapoosa County, AL","01123",27,284373,9.49,6.26,13.81
,"Tuscaloosa County, AL","01125",75,1571396,4.77,3.75,5.98
,"Walker County, AL","01127",44,449520,9.79,7.11,13.14
,"Winston County, AL","01133",14,165684,8.45,4.62,14.18
,"Anchorage Borough, AK","02020",365,2017574,18.09,16.24,19.95
,"Bethel Census Area, AK","02050",21,128314,16.37,10.13,25.02
,"Fairbanks North Star Borough, AK","02090",103,672211,15.32,12.36,18.28
,"Juneau Borough, AK","02110",31,222721,13.92,9.46,19.76
,"Kenai Peninsula Borough, AK","02122",51,419594,12.15,9.05,15.98
,"Ketchikan Gateway Borough, AK","02130",20,96476,20.73,12.66,32.02
,"Kodiak Island Borough, AK","02150",15,90061,16.66,9.32,27.47
,"Matanuska-Susitna Borough, AK","02170",112,783003,14.30,11.65,16.95
,"Nome Census Area, AK","02180",16,69220,23.11,13.21,37.54
,"Northwest Arctic Borough, AK","02188",12,52414,22.89,11.83,39.99
