"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Autauga County, AL","01001",26,376497,6.91,4.51,10.12
,"Baldwin County, AL","01003",163,1255530,12.98,10.99,14.98
,"Bibb County, AL","01007",30,158461,18.93,12.77,27.03
,"Blount County, AL","01009",66,398946,16.54,12.79,21.05
,"Butler County, AL","01013",13,145429,Unreliable,4.76,15.29
,"Calhoun County, AL","01015",93,820901,11.33,9.14,13.88
,"Chambers County, AL","01017",24,240957,9.96,6.38,14.82
,"Cherokee County, AL","01019",25,180576,13.84,8.96,20.44
,"Chilton County, AL","01021",55,303279,18.14,13.66,23.61
,"Cleburne County, AL","01029",11,103768,Unreliable,5.29,18.97
,"Coffee County, AL","01031",20,343368,5.82,3.56,9.00
,"Colbert County, AL","01033",17,381184,Unreliable,2.60,7.14
,"Covington County, AL","01039",11,264043,Unreliable,2.08,7.45
,"Cullman County, AL","01043",49,560626,8.74,6.47,11.56
,"Dale County, AL","01045",25,349029,7.16,4.64,10.57
,"Dallas County, AL","01047",16,306557,Unreliable,2.98,8.48
,"DeKalb County, AL","01049",71,492601,14.41,11.26,18.18
,"Elmore County, AL","01051",36,548794,6.56,4.59,9.08
,"Escambia County, AL","01053",60,266098,22.55,17.21,29.02
,"Etowah County, AL","01055",84,728991,11.52,9.19,14.27
,"Fayette County, AL","01057",20,121547,16.45,10.05,25.41
,"Franklin County, AL","01059",37,220535,16.78,11.81,23.13
,"Geneva County, AL","01061",13,186394,Unreliable,3.71,11.93
,"Henry County, AL","01067",11,120434,Unreliable,4.56,16.34
,"Houston County, AL","01069",74,700574,10.56,8.29,13.26
,"Jackson County, AL","01071",36,373339,9.64,6.75,13.35
,"Jefferson County, AL","01073",481,4603413,10.45,9.51,11.38
,"Lamar County, AL","01075",11,102339,Unreliable,5.37,19.23
,"Lauderdale County, AL","01077",73,644161,11.33,8.88,14.25
