"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"DeKalb County, AL","01049",18,504058,3.57,2.12,5.64
,"Escambia County, AL","01053",45,256215,17.56,12.81,23.50
,"Jefferson County, AL","01073",28,4634083,0.60,0.40,0.87
,"Madison County, AL","01089",13,2753612,0.47,0.25,0.81
,"Anchorage Borough, AK","02020",25,2017574,1.24,0.80,1.83
,"Coconino County, AZ","04005",12,1007556,1.19,0.62,2.08
,"Gila County, AZ","04007",15,377797,3.97,2.22,6.55
,"Maricopa County, AZ","04013",274,31782398,0.86,0.76,0.96
,"Mohave County, AZ","04015",111,1527606,7.27,5.91,8.62
,"Pima County, AZ","04019",45,7400465,0.61,0.44,0.81
,"Pinal County, AZ","04021",26,3302567,0.79,0.51,1.15
,"Yavapai County, AZ","04025",50,1696856,2.95,2.19,3.88
,"Benton County, AR","05007",28,2069657,1.35,0.90,1.96
,"Faulkner County, AR","05045",11,892065,1.23,0.62,2.21
,"Pulaski County, AR","05119",21,2775755,0.76,0.47,1.16
,"Washington County, AR","05143",13,1753208,0.74,0.39,1.27
,"Calaveras County, CA","06009",20,323669,6.18,3.77,9.54
,"Contra Costa County, CA","06013",13,8102085,0.16,0.09,0.27
,"Fresno County, CA","06019",11,7064477,0.16,0.08,0.28
,"Kern County, CA","06029",23,6368458,0.36,0.23,0.54
,"Los Angeles County, CA","06037",48,69058877,0.07,0.05,0.09
,"Orange County, CA","06059",46,22153700,0.21,0.15,0.28
,"Riverside County, CA","06065",36,17365164,0.21,0.15,0.29
,"Sacramento County, CA","06067",56,11020788,0.51,0.38,0.66
,"San Bernardino County, CA","06071",40,15339129,0.26,0.19,0.36
,"San Diego County, CA","06073",31,23145170,0.13,0.09,0.19
,"San Francisco County, CA","06075",25,5891612,0.42,0.27,0.63
,"San Joaquin County, CA","06077",17,5482487,0.31,0.18,0.50
,"Santa Clara County, CA","06085",80,13332897,0.60,0.48,0.75
,"Santa Cruz County, CA","06087",10,1873508,0.53,0.26,0.98
,"Ventura County, CA","06111",26,5875766,0.44,0.29,0.65
,"Adams County, CO","08001",29,3675225,0.79,0.53,1.13
,"Arapahoe County, CO","08005",17,4598944,0.37,0.22,0.59
,"Denver County, CO","08031",51,5049552,1.01,0.75,1.33
,"Douglas County, CO","08035",11,2577559,0.43,0.21,0.76
,"El Paso County, CO","08041",12,5137990,0.23,0.12,0.41
,"Jefferson County, CO","08059",28,4057020,0.69,0.46,1.00
,"Larimer County, CO","08069",14,2542501,0.55,0.30,0.92
,"Fairfield County, CT","09001",15,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003",13,Not Available,Not Available,Not Available,Not Available
,"Kent County, DE","10001",10,1296553,0.77,0.37,1.42
,"New Castle County, DE","10003",37,3993506,0.93,0.65,1.28
,"Sussex County, DE","10005",36,1743272,2.07,1.45,2.86
,"District of Columbia, DC","11001",120,4844095,2.48,2.03,2.92
,"Alachua County, FL","12001",11,1951261,0.56,0.28,1.01
,"Brevard County, FL","12009",74,4356997,1.70,1.33,2.13
,"Broward County, FL","12011",29,13740155,0.21,0.14,0.30
,"Citrus County, FL","12017",12,1108078,1.08,0.56,1.89
,"Duval County, FL","12031",11,6977116,0.16,0.08,0.28
,"Hillsborough County, FL","12057",28,10515298,0.27,0.18,0.38
,"Lee County, FL","12071",18,5621915,0.32,0.19,0.51
,"Marion County, FL","12083",24,2720263,0.88,0.57,1.31
,"Miami-Dade County, FL","12086",18,19047766,0.09,0.06,0.15
,"Palm Beach County, FL","12099",19,10622631,0.18,0.11,0.28
,"Pasco County, FL","12101",20,4148960,0.48,0.29,0.74
,"Pinellas County, FL","12103",40,6772898,0.59,0.42,0.80
,"Volusia County, FL","12127",15,3999052,0.38,0.21,0.62
,"Cobb County, GA","13067",17,5382985,0.32,0.18,0.51
,"DeKalb County, GA","13089",31,5331701,0.58,0.40,0.83
,"Fulton County, GA","13121",39,7500880,0.52,0.37,0.71
,"Gwinnett County, GA","13135",16,6733952,0.24,0.14,0.39
,"Hall County, GA","13139",10,1472253,0.68,0.33,1.25
,"Henry County, GA","13151",10,1711447,0.58,0.28,1.07
,"Houston County, GA","13153",17,1156773,1.47,0.86,2.35
,"Hawaii County, HI","15001",17,1432462,1.19,0.69,1.90
,"Honolulu County, HI","15003",29,6903152,0.42,0.28,0.60
,"Ada County, ID","16001",22,3537262,0.62,0.39,0.94
,"Bannock County, ID","16005",19,622931,3.05,1.84,4.76
,"Canyon County, ID","16027",12,1709147,0.70,0.36,1.23
,"Cook County, IL","17031",62,35991137,0.17,0.13,0.22
