"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Autauga County, AL","01001",72,388378,18.54,14.51,23.35
,"Baldwin County, AL","01003",283,1461807,19.36,17.10,21.62
,"Barbour County, AL","01005",24,181254,13.24,8.48,19.70
,"Bibb County, AL","01007",27,157706,17.12,11.28,24.91
,"Blount County, AL","01009",74,404647,18.29,14.36,22.96
,"Butler County, AL","01013",15,139666,Unreliable,6.01,17.71
,"Calhoun County, AL","01015",156,805493,19.37,16.33,22.41
,"Chambers County, AL","01017",51,236786,21.54,16.04,28.32
,"Cherokee County, AL","01019",41,181909,22.54,16.17,30.58
,"Chilton County, AL","01021",46,308414,14.92,10.92,19.89
,"Choctaw County, AL","01023",12,91287,Unreliable,6.79,22.96
,"Clarke County, AL","01025",29,170844,16.97,11.37,24.38
,"Clay County, AL","01027",23,93962,24.48,15.52,36.73
,"Cleburne County, AL","01029",20,104813,19.08,11.66,29.47
,"Coffee County, AL","01031",49,360409,13.60,10.06,17.97
,"Colbert County, AL","01033",72,382136,18.84,14.74,23.73
,"Conecuh County, AL","01035",10,87437,Unreliable,5.48,21.03
,"Coosa County, AL","01037",14,75221,Unreliable,10.18,31.23
,"Covington County, AL","01039",38,262220,14.49,10.26,19.89
,"Crenshaw County, AL","01041",11,97306,Unreliable,5.64,20.23
,"Cullman County, AL","01043",122,576541,21.16,17.41,24.92
,"Dale County, AL","01045",58,345513,16.79,12.75,21.70
,"Dallas County, AL","01047",35,279567,12.52,8.72,17.41
,"DeKalb County, AL","01049",99,498623,19.85,16.14,24.17
,"Elmore County, AL","01051",117,569919,20.53,16.81,24.25
,"Escambia County, AL","01053",51,262061,19.46,14.49,25.59
,"Etowah County, AL","01055",126,720607,17.49,14.43,20.54
,"Fayette County, AL","01057",31,116291,26.66,18.11,37.84
,"Franklin County, AL","01059",36,220677,16.31,11.43,22.58
,"Geneva County, AL","01061",30,185836,16.14,10.89,23.05
,"Hale County, AL","01065",14,104799,Unreliable,7.30,22.41
,"Henry County, AL","01067",22,120432,18.27,11.45,27.66
,"Houston County, AL","01069",113,731040,15.46,12.61,18.31
,"Jackson County, AL","01071",91,365444,24.90,20.05,30.57
,"Jefferson County, AL","01073",635,4617230,13.75,12.68,14.82
,"Lauderdale County, AL","01077",93,648461,14.34,11.58,17.57
,"Lawrence County, AL","01079",49,232353,21.09,15.60,27.88
,"Lee County, AL","01081",140,1111259,12.60,10.51,14.69
,"Limestone County, AL","01083",89,653539,13.62,10.94,16.76
,"Lowndes County, AL","01085",10,71875,Unreliable,6.67,25.59
,"Macon County, AL","01087",12,132443,Unreliable,4.68,15.83
,"Madison County, AL","01089",423,2507721,16.87,15.26,18.48
,"Marengo County, AL","01091",13,137270,Unreliable,5.04,16.19
,"Marion County, AL","01093",41,210076,19.52,14.01,26.48
,"Marshall County, AL","01095",115,667709,17.22,14.08,20.37
