"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Autauga County, AL","01001",45,408275,11.02,8.04,14.75
,"Baldwin County, AL","01003",203,1671387,12.15,10.47,13.82
,"Barbour County, AL","01005",20,172769,11.58,7.07,17.88
,"Bibb County, AL","01007",23,155538,14.79,9.37,22.19
,"Blount County, AL","01009",61,412077,14.80,11.32,19.02
,"Butler County, AL","01013",19,132804,14.31,8.61,22.34
,"Calhoun County, AL","01015",134,805967,16.63,13.81,19.44
,"Chambers County, AL","01017",40,236255,16.93,12.10,23.06
,"Cherokee County, AL","01019",30,180624,16.61,11.21,23.71
,"Chilton County, AL","01021",28,317829,8.81,5.85,12.73
,"Clarke County, AL","01025",15,160587,9.34,5.23,15.41
,"Clay County, AL","01027",16,96360,16.60,9.49,26.96
,"Cleburne County, AL","01029",20,106857,18.72,11.43,28.91
,"Coffee County, AL","01031",54,378461,14.27,10.72,18.62
,"Colbert County, AL","01033",74,398067,18.59,14.60,23.34
,"Conecuh County, AL","01035",16,81012,19.75,11.29,32.07
,"Coosa County, AL","01037",12,73203,16.39,8.47,28.63
,"Covington County, AL","01039",36,261791,13.75,9.63,19.04
,"Crenshaw County, AL","01041",10,93600,10.68,5.12,19.65
,"Cullman County, AL","01043",74,616506,12.00,9.43,15.07
,"Dale County, AL","01045",49,345911,14.17,10.48,18.73
,"Dallas County, AL","01047",24,257700,9.31,5.97,13.86
,"DeKalb County, AL","01049",77,504058,15.28,12.06,19.09
,"Elmore County, AL","01051",78,605604,12.88,10.18,16.07
,"Escambia County, AL","01053",38,256215,14.83,10.50,20.36
,"Etowah County, AL","01055",104,719838,14.45,11.67,17.22
,"Fayette County, AL","01057",17,113072,15.03,8.76,24.07
,"Franklin County, AL","01059",17,221853,7.66,4.46,12.27
,"Geneva County, AL","01061",25,186727,13.39,8.66,19.76
,"Hale County, AL","01065",17,103400,16.44,9.58,26.32
,"Henry County, AL","01067",21,122791,17.10,10.59,26.14
,"Houston County, AL","01069",96,750549,12.79,10.36,15.62
,"Jackson County, AL","01071",61,367855,16.58,12.68,21.30
,"Jefferson County, AL","01073",465,4634083,10.03,9.12,10.95
,"Lauderdale County, AL","01077",66,662721,9.96,7.70,12.67
,"Lawrence County, AL","01079",33,232111,14.22,9.79,19.97
,"Lee County, AL","01081",114,1224367,9.31,7.60,11.02
,"Limestone County, AL","01083",79,749330,10.54,8.35,13.14
,"Macon County, AL","01087",11,128342,8.57,4.28,15.34
,"Madison County, AL","01089",295,2753612,10.71,9.49,11.94
,"Marengo County, AL","01091",15,131599,11.40,6.38,18.80
,"Marion County, AL","01093",27,206144,13.10,8.63,19.06
,"Marshall County, AL","01095",83,690436,12.02,9.57,14.90
,"Mobile County, AL","01097",299,2888146,10.35,9.18,11.53
,"Monroe County, AL","01099",13,139597,9.31,4.96,15.92
,"Montgomery County, AL","01101",145,1581557,9.17,7.68,10.66
,"Morgan County, AL","01103",116,857747,13.52,11.06,15.98
,"Pickens County, AL","01107",10,134355,7.44,3.57,13.69
,"Pike County, AL","01109",23,231684,9.93,6.29,14.90
,"Randolph County, AL","01111",22,158688,13.86,8.69,20.99
,"Russell County, AL","01113",59,408837,14.43,10.99,18.62
,"St. Clair County, AL","01115",98,648100,15.12,12.28,18.43
,"Shelby County, AL","01117",167,1580823,10.56,8.96,12.17
,"Talladega County, AL","01121",75,564526,13.29,10.45,16.65
,"Tallapoosa County, AL","01123",35,284373,12.31,8.57,17.12
,"Tuscaloosa County, AL","01125",139,1571396,8.85,7.38,10.32
,"Walker County, AL","01127",72,449520,16.02,12.53,20.17
,"Washington County, AL","01129",11,108989,10.09,5.04,18.06
,"Winston County, AL","01133",28,165684,16.90,11.23,24.42
,"Anchorage Borough, AK","02020",274,2017574,13.58,11.97,15.19
,"Bethel Census Area, AK","02050",37,128314,28.84,20.30,39.75
,"Dillingham Census Area, AK","02070",12,33493,35.83,18.51,62.59
,"Fairbanks North Star Borough, AK","02090",152,672211,22.61,19.02,26.21
,"Juneau Borough, AK","02110",22,222721,9.88,6.19,14.96
,"Kenai Peninsula Borough, AK","02122",70,419594,16.68,13.01,21.08
,"Ketchikan Gateway Borough, AK","02130",11,96476,11.40,5.69,20.40
,"Kodiak Island Borough, AK","02150",10,90061,11.10,5.32,20.42
,"Matanuska-Susitna Borough, AK","02170",150,783003,19.16,16.09,22.22
,"Nome Census Area, AK","02180",21,69220,30.34,18.78,46.38
,"North Slope Borough, AK","02185",11,72041,15.27,7.62,27.32
,"Northwest Arctic Borough, AK","02188",14,52414,26.71,14.60,44.82
,"Sitka Borough, AK","02220",11,58971,18.65,9.31,33.38
,"Southeast Fairbanks Census Area, AK","02240",11,49149,22.38,11.17,40.05
,"Valdez-Cordova Census Area, AK","02261",10,65424,15.28,7.33,28.11
,"Wade Hampton Census Area, AK","02270",26,57530,45.19,29.52,66.22
,"Yukon-Koyukuk Census Area, AK","02290",11,36316,30.29,15.12,54.20
,"Apache County, AZ","04001",69,476471,14.48,11.27,18.33
,"Cochise County, AZ","04003",150,882268,17.00,14.28,19.72
,"Coconino County, AZ","04005",141,1007556,13.99,11.68,16.30
,"Gila County, AZ","04007",107,377797,28.32,22.96,33.69
,"Graham County, AZ","04009",32,273716,11.69,8.00,16.50
,"Greenlee County, AZ","04011",12,65807,18.24,9.42,31.85
,"La Paz County, AZ","04012",41,130302,31.47,22.58,42.69
,"Maricopa County, AZ","04013",3148,31782398,9.90,9.56,10.25
,"Mohave County, AZ","04015",405,1527606,26.51,23.93,29.09
,"Navajo County, AZ","04017",120,768969,15.61,12.81,18.40
,"Pima County, AZ","04019",958,7400465,12.95,12.13,13.76
,"Pinal County, AZ","04021",415,3302567,12.57,11.36,13.77
,"Santa Cruz County, AZ","04023",21,336125,6.25,3.87,9.55
,"Yavapai County, AZ","04025",434,1696856,25.58,23.17,27.98
,"Yuma County, AZ","04027",133,1492102,8.91,7.40,10.43
,"Arkansas County, AR","05001",15,118229,12.69,7.10,20.93
,"Ashley County, AR","05003",17,132316,12.85,7.48,20.57
,"Baxter County, AR","05005",80,296254,27.00,21.41,33.61
,"Benton County, AR","05007",182,2069657,8.79,7.52,10.07
,"Boone County, AR","05009",47,265817,17.68,12.99,23.51
,"Carroll County, AR","05015",37,199838,18.51,13.04,25.52
,"Clark County, AR","05019",16,151249,10.58,6.05,17.18
,"Clay County, AR","05021",13,100701,12.91,6.87,22.08
,"Cleburne County, AR","05023",30,176209,17.03,11.49,24.30
,"Columbia County, AR","05027",13,159387,8.16,4.34,13.95
,"Conway County, AR","05029",11,147192,7.47,3.73,13.37
,"Craighead County, AR","05031",83,786215,10.56,8.41,13.09
,"Crawford County, AR","05033",58,435674,13.31,10.11,17.21
,"Crittenden County, AR","05035",32,332271,9.63,6.59,13.60
,"Cross County, AR","05037",14,115133,12.16,6.65,20.40
,"Desha County, AR","05041",11,76644,14.35,7.16,25.68
,"Drew County, AR","05043",19,122425,15.52,9.34,24.24
,"Faulkner County, AR","05045",102,892065,11.43,9.22,13.65
,"Franklin County, AR","05047",15,122920,12.20,6.83,20.13
,"Fulton County, AR","05049",17,86621,19.63,11.43,31.42
,"Garland County, AR","05051",133,698434,19.04,15.81,22.28
,"Grant County, AR","05053",24,128081,18.74,12.01,27.88
,"Greene County, AR","05055",46,322683,14.26,10.44,19.01
,"Hot Spring County, AR","05059",40,234181,17.08,12.20,23.26
,"Howard County, AR","05061",14,89827,15.59,8.52,26.15
,"Independence County, AR","05063",30,265593,11.30,7.62,16.12
,"Izard County, AR","05065",24,97254,24.68,15.81,36.72
,"Jackson County, AR","05067",12,117058,10.25,5.30,17.91
,"Jefferson County, AR","05069",36,457755,7.86,5.51,10.89
,"Johnson County, AR","05071",25,183980,13.59,8.79,20.06
,"Lafayette County, AR","05073",10,44276,22.59,10.83,41.54
,"Lawrence County, AR","05075",20,114370,17.49,10.68,27.01
,"Little River County, AR","05081",12,83961,14.29,7.39,24.97
,"Logan County, AR","05083",22,149938,14.67,9.20,22.21
,"Lonoke County, AR","05085",58,523167,11.09,8.42,14.33
,"Madison County, AR","05087",19,119787,15.86,9.55,24.77
,"Marion County, AR","05089",23,119545,19.24,12.20,28.87
,"Miller County, AR","05091",34,299600,11.35,7.86,15.86
,"Mississippi County, AR","05093",22,277271,7.93,4.97,12.01
,"Montgomery County, AR","05097",10,61213,16.34,7.83,30.04
,"Newton County, AR","05101",11,51539,21.34,10.65,38.19
,"Ouachita County, AR","05103",10,157987,6.33,3.04,11.64
,"Perry County, AR","05105",13,71596,18.16,9.67,31.05
,"Phillips County, AR","05107",19,113942,16.68,10.04,26.04
,"Poinsett County, AR","05111",26,160637,16.19,10.57,23.72
,"Polk County, AR","05113",30,137280,21.85,14.74,31.20
,"Pope County, AR","05115",43,449682,9.56,6.92,12.88
,"Prairie County, AR","05117",10,56277,17.77,8.52,32.68
,"Pulaski County, AR","05119",291,2775755,10.48,9.28,11.69
,"Randolph County, AR","05121",20,129802,15.41,9.41,23.80
,"Saline County, AR","05125",139,881242,15.77,13.15,18.40
,"Scott County, AR","05127",11,70079,15.70,7.84,28.09
,"Searcy County, AR","05129",13,55121,23.58,12.56,40.33
,"Sebastian County, AR","05131",102,899762,11.34,9.14,13.54
,"Sevier County, AR","05133",14,113684,12.31,6.73,20.66
,"Sharp County, AR","05135",22,123762,17.78,11.14,26.91
,"Stone County, AR","05137",24,88149,27.23,17.44,40.51
,"Union County, AR","05139",28,266524,10.51,6.98,15.18
,"Van Buren County, AR","05141",22,113779,19.34,12.12,29.27
,"Washington County, AR","05143",132,1753208,7.53,6.24,8.81
,"White County, AR","05145",71,548714,12.94,10.11,16.32
,"Yell County, AR","05149",17,144519,11.76,6.85,18.83
,"Alameda County, CA","06001",318,11549206,2.75,2.45,3.06
,"Amador County, CA","06005",44,285726,15.40,11.19,20.67
,"Butte County, CA","06007",141,1494304,9.44,7.88,10.99
,"Calaveras County, CA","06009",42,323669,12.98,9.35,17.54
,"Contra Costa County, CA","06013",305,8102085,3.76,3.34,4.19
,"Del Norte County, CA","06015",26,192388,13.51,8.83,19.80
,"El Dorado County, CA","06017",106,1347351,7.87,6.37,9.37
,"Fresno County, CA","06019",272,7064477,3.85,3.39,4.31
,"Glenn County, CA","06021",17,198300,8.57,4.99,13.73
,"Humboldt County, CA","06023",107,944593,11.33,9.18,13.47
,"Imperial County, CA","06025",39,1262654,3.09,2.20,4.22
,"Inyo County, CA","06027",16,128772,12.43,7.10,20.18
,"Kern County, CA","06029",377,6368458,5.92,5.32,6.52
,"Kings County, CA","06031",40,1071017,3.73,2.67,5.09
,"Lake County, CA","06033",53,465846,11.38,8.52,14.88
,"Lassen County, CA","06035",32,211655,15.12,10.34,21.34
,"Los Angeles County, CA","06037",2020,69058877,2.93,2.80,3.05
,"Madera County, CA","06039",59,1120716,5.26,4.01,6.79
,"Marin County, CA","06041",57,1802855,3.16,2.39,4.10
,"Mariposa County, CA","06043",20,119968,16.67,10.18,25.75
,"Mendocino County, CA","06045",67,619787,10.81,8.38,13.73
,"Merced County, CA","06047",90,1996866,4.51,3.62,5.54
,"Monterey County, CA","06053",113,3037718,3.72,3.03,4.41
,"Napa County, CA","06055",43,949576,4.53,3.28,6.10
,"Nevada County, CA","06057",72,709069,10.15,7.95,12.79
,"Orange County, CA","06059",727,22153700,3.28,3.04,3.52
,"Placer County, CA","06061",175,2881883,6.07,5.17,6.97
,"Plumas County, CA","06063",19,133809,14.20,8.55,22.17
,"Riverside County, CA","06065",811,17365164,4.67,4.35,4.99
,"Sacramento County, CA","06067",538,11020788,4.88,4.47,5.29
,"San Benito County, CA","06069",17,459990,3.70,2.15,5.92
,"San Bernardino County, CA","06071",753,15339129,4.91,4.56,5.26
,"San Diego County, CA","06073",1048,23145170,4.53,4.25,4.80
,"San Francisco County, CA","06075",97,5891612,1.65,1.34,2.01
,"San Joaquin County, CA","06077",255,5482487,4.65,4.08,5.22
,"San Luis Obispo County, CA","06079",155,1978024,7.84,6.60,9.07
,"San Mateo County, CA","06081",131,5230741,2.50,2.08,2.93
,"Santa Barbara County, CA","06083",133,3113861,4.27,3.55,5.00
,"Santa Clara County, CA","06085",307,13332897,2.30,2.05,2.56
,"Santa Cruz County, CA","06087",89,1873508,4.75,3.81,5.85
,"Shasta County, CA","06089",164,1263703,12.98,10.99,14.96
,"Siskiyou County, CA","06093",54,303689,17.78,13.36,23.20
,"Solano County, CA","06095",172,3145970,5.47,4.65,6.28
,"Sonoma County, CA","06097",202,3419821,5.91,5.09,6.72
,"Stanislaus County, CA","06099",193,3863232,5.00,4.29,5.70
,"Sutter County, CA","06101",38,684222,5.55,3.93,7.62
,"Tehama County, CA","06103",64,453584,14.11,10.87,18.02
,"Trinity County, CA","06105",22,100189,21.96,13.76,33.25
,"Tulare County, CA","06107",145,3318348,4.37,3.66,5.08
,"Tuolumne County, CA","06109",39,381970,10.21,7.26,13.96
,"Ventura County, CA","06111",270,5875766,4.60,4.05,5.14
,"Yolo County, CA","06113",46,1545532,2.98,2.18,3.97
,"Yuba County, CA","06115",44,577791,7.62,5.53,10.22
,"Adams County, CO","08001",334,3675225,9.09,8.11,10.06
,"Alamosa County, CO","08003",17,115579,14.71,8.57,23.55
,"Arapahoe County, CO","08005",439,4598944,9.55,8.65,10.44
,"Archuleta County, CO","08007",20,98084,20.39,12.46,31.49
,"Boulder County, CO","08013",201,2293549,8.76,7.55,9.98
,"Broomfield County, CO","08014",36,518597,6.94,4.86,9.61
,"Chaffee County, CO","08015",31,142738,21.72,14.76,30.83
,"Clear Creek County, CO","08019",12,65915,18.21,9.41,31.80
,"Custer County, CO","08027",10,36672,27.27,13.08,50.15
,"Delta County, CO","08029",48,220406,21.78,16.06,28.87
,"Denver County, CO","08031",429,5049552,8.50,7.69,9.30
,"Douglas County, CO","08035",208,2577559,8.07,6.97,9.17
,"Eagle County, CO","08037",50,384772,12.99,9.64,17.13
,"Elbert County, CO","08039",28,193439,14.47,9.62,20.92
,"El Paso County, CO","08041",785,5137990,15.28,14.21,16.35
,"Fremont County, CO","08043",93,343420,27.08,21.86,33.18
,"Garfield County, CO","08045",64,430503,14.87,11.45,18.98
,"Grand County, CO","08049",18,110771,16.25,9.63,25.68
,"Gunnison County, CO","08051",21,121480,17.29,10.70,26.42
