"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Autauga County, AL","01001",38,408275,9.31,6.59,12.78
,"Baldwin County, AL","01003",377,1671387,22.56,20.28,24.83
,"Barbour County, AL","01005",19,172769,11.00,6.62,17.17
,"Bibb County, AL","01007",41,155538,26.36,18.92,35.76
,"Blount County, AL","01009",83,412077,20.14,16.04,24.97
,"Bullock County, AL","01011",20,70535,28.35,17.32,43.79
,"Butler County, AL","01013",18,132804,13.55,8.03,21.42
,"Calhoun County, AL","01015",228,805967,28.29,24.62,31.96
,"Chambers County, AL","01017",29,236255,12.27,8.22,17.63
,"Cherokee County, AL","01019",35,180624,19.38,13.50,26.95
,"Chilton County, AL","01021",69,317829,21.71,16.89,27.48
,"Clarke County, AL","01025",22,160587,13.70,8.59,20.74
,"Clay County, AL","01027",13,96360,13.49,7.18,23.07
,"Coffee County, AL","01031",38,378461,10.04,7.11,13.78
,"Colbert County, AL","01033",87,398067,21.86,17.51,26.96
,"Conecuh County, AL","01035",23,81012,28.39,18.00,42.60
,"Covington County, AL","01039",36,261791,13.75,9.63,19.04
,"Cullman County, AL","01043",161,616506,26.11,22.08,30.15
,"Dale County, AL","01045",44,345911,12.72,9.24,17.08
,"Dallas County, AL","01047",45,257700,17.46,12.74,23.37
,"DeKalb County, AL","01049",108,504058,21.43,17.39,25.47
,"Elmore County, AL","01051",62,605604,10.24,7.85,13.12
,"Escambia County, AL","01053",50,256215,19.51,14.48,25.73
,"Etowah County, AL","01055",192,719838,26.67,22.90,30.45
,"Fayette County, AL","01057",34,113072,30.07,20.82,42.02
,"Franklin County, AL","01059",49,221853,22.09,16.34,29.20
,"Geneva County, AL","01061",29,186727,15.53,10.40,22.30
,"Henry County, AL","01067",12,122791,9.77,5.05,17.07
,"Houston County, AL","01069",99,750549,13.19,10.72,16.06
,"Jackson County, AL","01071",42,367855,11.42,8.23,15.43
,"Jefferson County, AL","01073",2025,4634083,43.70,41.79,45.60
,"Lamar County, AL","01075",10,96011,10.42,4.99,19.15
,"Lauderdale County, AL","01077",116,662721,17.50,14.32,20.69
,"Lawrence County, AL","01079",19,232111,8.19,4.93,12.78
,"Lee County, AL","01081",130,1224367,10.62,8.79,12.44
,"Limestone County, AL","01083",61,749330,8.14,6.23,10.46
,"Madison County, AL","01089",609,2753612,22.12,20.36,23.87
,"Marengo County, AL","01091",12,131599,9.12,4.71,15.93
,"Marion County, AL","01093",15,206144,7.28,4.07,12.00
,"Marshall County, AL","01095",153,690436,22.16,18.65,25.67
,"Mobile County, AL","01097",649,2888146,22.47,20.74,24.20
,"Monroe County, AL","01099",28,139597,20.06,13.33,28.99
,"Montgomery County, AL","01101",199,1581557,12.58,10.83,14.33
,"Morgan County, AL","01103",184,857747,21.45,18.35,24.55
,"Pickens County, AL","01107",26,134355,19.35,12.64,28.35
,"Pike County, AL","01109",15,231684,6.47,3.62,10.68
,"Randolph County, AL","01111",22,158688,13.86,8.69,20.99
,"Russell County, AL","01113",106,408837,25.93,20.99,30.86
,"St. Clair County, AL","01115",225,648100,34.72,30.18,39.25
,"Shelby County, AL","01117",326,1580823,20.62,18.38,22.86
,"Talladega County, AL","01121",85,564526,15.06,12.03,18.62
,"Tallapoosa County, AL","01123",37,284373,13.01,9.16,17.93
,"Tuscaloosa County, AL","01125",268,1571396,17.05,15.01,19.10
,"Walker County, AL","01127",218,449520,48.50,42.06,54.93
,"Washington County, AL","01129",12,108989,11.01,5.69,19.23
,"Winston County, AL","01133",47,165684,28.37,20.84,37.72
,"Anchorage Borough, AK","02020",792,2017574,39.26,36.52,41.99
,"Bethel Census Area, AK","02050",30,128314,23.38,15.77,33.38
,"Dillingham Census Area, AK","02070",16,33493,47.77,27.31,77.58
,"Fairbanks North Star Borough, AK","02090",103,672211,15.32,12.36,18.28
,"Juneau Borough, AK","02110",63,222721,28.29,21.74,36.19
,"Kenai Peninsula Borough, AK","02122",98,419594,23.36,18.96,28.46
,"Ketchikan Gateway Borough, AK","02130",24,96476,24.88,15.94,37.01
,"Kodiak Island Borough, AK","02150",16,90061,17.77,10.15,28.85
,"Matanuska-Susitna Borough, AK","02170",208,783003,26.56,22.95,30.17
,"North Slope Borough, AK","02185",19,72041,26.37,15.88,41.19
,"Northwest Arctic Borough, AK","02188",10,52414,19.08,9.15,35.09
,"Prince of Wales-Hyder Census Area, AK","02198",12,41593,28.85,14.91,50.40
,"Sitka Borough, AK","02220",10,58971,16.96,8.13,31.19
,"Valdez-Cordova Census Area, AK","02261",23,65424,35.16,22.29,52.75
,"Wade Hampton Census Area, AK","02270",12,57530,20.86,10.78,36.44
,"Yukon-Koyukuk Census Area, AK","02290",10,36316,27.54,13.20,50.64
,"Apache County, AZ","04001",146,476471,30.64,25.67,35.61
,"Cochise County, AZ","04003",230,882268,26.07,22.70,29.44
,"Coconino County, AZ","04005",221,1007556,21.93,19.04,24.83
,"Gila County, AZ","04007",116,377797,30.70,25.12,36.29
,"Graham County, AZ","04009",81,273716,29.59,23.50,36.78
,"Greenlee County, AZ","04011",12,65807,18.24,9.42,31.85
,"La Paz County, AZ","04012",55,130302,42.21,31.80,54.94
,"Maricopa County, AZ","04013",9606,31782398,30.22,29.62,30.83
,"Mohave County, AZ","04015",305,1527606,19.97,17.73,22.21
,"Navajo County, AZ","04017",258,768969,33.55,29.46,37.65
,"Pima County, AZ","04019",2569,7400465,34.71,33.37,36.06
,"Pinal County, AZ","04021",642,3302567,19.44,17.94,20.94
,"Santa Cruz County, AZ","04023",56,336125,16.66,12.59,21.63
,"Yavapai County, AZ","04025",432,1696856,25.46,23.06,27.86
,"Yuma County, AZ","04027",303,1492102,20.31,18.02,22.59
,"Arkansas County, AR","05001",12,118229,10.15,5.24,17.73
,"Ashley County, AR","05003",29,132316,21.92,14.68,31.48
,"Baxter County, AR","05005",31,296254,10.46,7.11,14.85
,"Benton County, AR","05007",203,2069657,9.81,8.46,11.16
,"Boone County, AR","05009",31,265817,11.66,7.92,16.55
,"Carroll County, AR","05015",44,199838,22.02,16.00,29.56
,"Chicot County, AR","05017",11,69182,15.90,7.94,28.45
,"Clark County, AR","05019",11,151249,7.27,3.63,13.01
,"Clay County, AR","05021",16,100701,15.89,9.08,25.80
,"Cleburne County, AR","05023",22,176209,12.49,7.82,18.90
,"Columbia County, AR","05027",15,159387,9.41,5.27,15.52
,"Conway County, AR","05029",22,147192,14.95,9.37,22.63
,"Craighead County, AR","05031",85,786215,10.81,8.64,13.37
,"Crawford County, AR","05033",63,435674,14.46,11.11,18.50
,"Crittenden County, AR","05035",66,332271,19.86,15.36,25.27
,"Cross County, AR","05037",21,115133,18.24,11.29,27.88
,"Desha County, AR","05041",11,76644,14.35,7.16,25.68
,"Drew County, AR","05043",10,122425,8.17,3.92,15.02
,"Faulkner County, AR","05045",97,892065,10.87,8.82,13.26
,"Franklin County, AR","05047",19,122920,15.46,9.31,24.14
,"Garland County, AR","05051",161,698434,23.05,19.49,26.61
,"Grant County, AR","05053",13,128081,10.15,5.40,17.36
,"Greene County, AR","05055",30,322683,9.30,6.27,13.27
