"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Autauga County, AL","01001",66,408275,16.17,12.50,20.57
,"Baldwin County, AL","01003",317,1671387,18.97,16.88,21.05
,"Barbour County, AL","01005",26,172769,15.05,9.83,22.05
,"Bibb County, AL","01007",28,155538,18.00,11.96,26.02
,"Blount County, AL","01009",94,412077,22.81,18.43,27.92
,"Bullock County, AL","01011",11,70535,15.60,7.79,27.90
,"Butler County, AL","01013",23,132804,17.32,10.98,25.99
,"Calhoun County, AL","01015",170,805967,21.09,17.92,24.26
,"Chambers County, AL","01017",49,236255,20.74,15.34,27.42
,"Cherokee County, AL","01019",46,180624,25.47,18.65,33.97
,"Chilton County, AL","01021",44,317829,13.84,10.06,18.58
,"Choctaw County, AL","01023",11,87124,12.63,6.30,22.59
,"Clarke County, AL","01025",20,160587,12.45,7.61,19.23
,"Clay County, AL","01027",21,96360,21.79,13.49,33.31
,"Cleburne County, AL","01029",29,106857,27.14,18.18,38.98
,"Coffee County, AL","01031",68,378461,17.97,13.95,22.78
,"Colbert County, AL","01033",88,398067,22.11,17.73,27.24
,"Conecuh County, AL","01035",17,81012,20.98,12.22,33.60
,"Coosa County, AL","01037",13,73203,17.76,9.46,30.37
,"Covington County, AL","01039",47,261791,17.95,13.19,23.87
,"Crenshaw County, AL","01041",12,93600,12.82,6.62,22.39
,"Cullman County, AL","01043",124,616506,20.11,16.57,23.65
,"Dale County, AL","01045",70,345911,20.24,15.78,25.57
,"Dallas County, AL","01047",32,257700,12.42,8.49,17.53
,"DeKalb County, AL","01049",103,504058,20.43,16.49,24.38
,"Elmore County, AL","01051",112,605604,18.49,15.07,21.92
,"Escambia County, AL","01053",61,256215,23.81,18.21,30.58
,"Etowah County, AL","01055",151,719838,20.98,17.63,24.32
,"Fayette County, AL","01057",24,113072,21.23,13.60,31.58
,"Franklin County, AL","01059",31,221853,13.97,9.49,19.83
,"Geneva County, AL","01061",42,186727,22.49,16.21,30.40
,"Hale County, AL","01065",18,103400,17.41,10.32,27.51
,"Henry County, AL","01067",28,122791,22.80,15.15,32.96
,"Houston County, AL","01069",135,750549,17.99,14.95,21.02
,"Jackson County, AL","01071",72,367855,19.57,15.31,24.65
,"Jefferson County, AL","01073",639,4634083,13.79,12.72,14.86
,"Lauderdale County, AL","01077",104,662721,15.69,12.68,18.71
,"Lawrence County, AL","01079",44,232111,18.96,13.77,25.45
,"Lee County, AL","01081",160,1224367,13.07,11.04,15.09
,"Limestone County, AL","01083",118,749330,15.75,12.91,18.59
,"Macon County, AL","01087",13,128342,10.13,5.39,17.32
,"Madison County, AL","01089",448,2753612,16.27,14.76,17.78
,"Marengo County, AL","01091",20,131599,15.20,9.28,23.47
,"Marion County, AL","01093",39,206144,18.92,13.45,25.86
,"Marshall County, AL","01095",126,690436,18.25,15.06,21.44
,"Mobile County, AL","01097",439,2888146,15.20,13.78,16.62
,"Monroe County, AL","01099",18,139597,12.89,7.64,20.38
,"Montgomery County, AL","01101",193,1581557,12.20,10.48,13.92
,"Morgan County, AL","01103",172,857747,20.05,17.06,23.05
,"Pickens County, AL","01107",13,134355,9.68,5.15,16.55
,"Pike County, AL","01109",27,231684,11.65,7.68,16.96
,"Randolph County, AL","01111",32,158688,20.17,13.79,28.47
,"Russell County, AL","01113",77,408837,18.83,14.86,23.54
,"St. Clair County, AL","01115",135,648100,20.83,17.32,24.34
,"Shelby County, AL","01117",228,1580823,14.42,12.55,16.30
,"Sumter County, AL","01119",11,84694,12.99,6.48,23.24
,"Talladega County, AL","01121",101,564526,17.89,14.40,21.38
,"Tallapoosa County, AL","01123",45,284373,15.82,11.54,21.17
,"Tuscaloosa County, AL","01125",191,1571396,12.15,10.43,13.88
,"Walker County, AL","01127",98,449520,21.80,17.70,26.57
,"Washington County, AL","01129",18,108989,16.52,9.79,26.10
,"Winston County, AL","01133",36,165684,21.73,15.22,30.08
,"Anchorage Borough, AK","02020",461,2017574,22.85,20.76,24.94
,"Bethel Census Area, AK","02050",82,128314,63.91,50.83,79.32
,"Dillingham Census Area, AK","02070",21,33493,62.70,38.81,95.84
,"Fairbanks North Star Borough, AK","02090",211,672211,31.39,27.15,35.62
,"Juneau Borough, AK","02110",39,222721,17.51,12.45,23.94
,"Kenai Peninsula Borough, AK","02122",103,419594,24.55,19.81,29.29
,"Ketchikan Gateway Borough, AK","02130",27,96476,27.99,18.44,40.72
,"Kodiak Island Borough, AK","02150",16,90061,17.77,10.15,28.85
,"Matanuska-Susitna Borough, AK","02170",200,783003,25.54,22.00,29.08
,"Nome Census Area, AK","02180",54,69220,78.01,58.61,101.79
,"North Slope Borough, AK","02185",21,72041,29.15,18.04,44.56
,"Northwest Arctic Borough, AK","02188",40,52414,76.32,54.52,103.92
,"Sitka Borough, AK","02220",14,58971,23.74,12.98,39.83
,"Southeast Fairbanks Census Area, AK","02240",13,49149,26.45,14.08,45.23
,"Valdez-Cordova Census Area, AK","02261",15,65424,22.93,12.83,37.82
,"Wade Hampton Census Area, AK","02270",66,57530,114.72,88.73,145.96
,"Yukon-Koyukuk Census Area, AK","02290",23,36316,63.33,40.15,95.03
,"Apache County, AZ","04001",208,476471,43.65,37.72,49.59
,"Cochise County, AZ","04003",226,882268,25.62,22.28,28.96
,"Coconino County, AZ","04005",305,1007556,30.27,26.87,33.67
,"Gila County, AZ","04007",170,377797,45.00,38.23,51.76
,"Graham County, AZ","04009",57,273716,20.82,15.77,26.98
,"Greenlee County, AZ","04011",20,65807,30.39,18.56,46.94
,"La Paz County, AZ","04012",55,130302,42.21,31.80,54.94
,"Maricopa County, AZ","04013",5324,31782398,16.75,16.30,17.20
,"Mohave County, AZ","04015",592,1527606,38.75,35.63,41.88
,"Navajo County, AZ","04017",288,768969,37.45,33.13,41.78
,"Pima County, AZ","04019",1574,7400465,21.27,20.22,22.32
,"Pinal County, AZ","04021",622,3302567,18.83,17.35,20.31
,"Santa Cruz County, AZ","04023",37,336125,11.01,7.75,15.17
,"Yavapai County, AZ","04025",602,1696856,35.48,32.64,38.31
,"Yuma County, AZ","04027",229,1492102,15.35,13.36,17.34
,"Arkansas County, AR","05001",20,118229,16.92,10.33,26.13
,"Ashley County, AR","05003",23,132316,17.38,11.02,26.08
,"Baxter County, AR","05005",105,296254,35.44,28.66,42.22
,"Benton County, AR","05007",296,2069657,14.30,12.67,15.93
,"Boone County, AR","05009",65,265817,24.45,18.87,31.17
